"code","quality","template","shape_6_to_1","theory","omitted","errors","ergonomic_review","representative_status"
"A#add11","major","e-add11","6-6-8-7-6-6","A# C## E# D#","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"A#maj11","major","full-emaj11","6-6-7-7-6-8","A# C## E# G## B# D#","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"A#maj13","major","full-emaj13","6-8-7-7-8-8","A# C## E# G## B# D# F##","D#","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"A#7b5","major","a-seven-flat-five","x-1-2-1-3-x","A# C## E G#","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"A#7#5","major","a-seven-sharp-five","x-1-4-1-3-x","A# C## E## G#","","","low-position-span-at-least-three-review","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"A#7b9","major","a-seven-flat-nine","x-1-0-1-0-1","A# C## E# G# B","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"A#7#9","major","a-seven-sharp-nine","x-1-0-1-2-1","A# C## E# G# B##","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"A#6/9","major","a-six-nine","x-1-0-0-1-1","A# C## E# F## B#","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"A#m11","minor","full-em11","6-6-6-6-6-8","A# C# E# G# B# D#","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"A#m13","minor","full-em13","6-8-6-6-8-8","A# C# E# G# B# D# F##","D#","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"A#m7b5","minor","a-half-diminished","x-1-2-1-2-x","A# C# E G#","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"A#dim7","dim","a-diminished-seven","x-1-2-0-2-x","A# C# E G","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"B5","major","a-power","x-2-4-4-x-x","B F#","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"B11","major","full-e11","7-7-7-8-7-9","B D# F# A C# E","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"B13","major","a13","x-2-1-2-2-4","B D# F# A C# E G#","F# E","","low-position-span-at-least-three-review","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Badd2","major","g-add2","7-4-4-4-4-7","B C# D# F#","","","outer-strings-high-fret-with-interior-low-grip-review","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Badd11","major","e-add11","7-7-9-8-7-7","B D# F# E","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Bmaj11","major","full-emaj11","7-7-8-8-7-9","B D# F# A# C# E","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Bmaj13","major","full-emaj13","7-9-8-8-9-9","B D# F# A# C# E G#","E","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"B7b5","major","a-seven-flat-five","x-2-3-2-4-x","B D# F A","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"B7#5","major","a-seven-sharp-five","x-2-5-2-4-x","B D# F## A","","","low-position-span-at-least-three-review","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"B7b9","major","a-seven-flat-nine","x-2-1-2-1-2","B D# F# A C","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"B7#9","major","a-seven-sharp-nine","x-2-1-2-3-2","B D# F# A C##","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"B6/9","major","a-six-nine","x-2-1-1-2-2","B D# F# G# C#","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Bm11","minor","full-em11","7-7-7-7-7-9","B D F# A C# E","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Bm13","minor","am13","x-2-0-2-2-4","B D F# A C# E G#","F# E","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Bm7b5","minor","a-half-diminished","x-2-3-2-3-x","B D F A","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Bdim7","dim","a-diminished-seven","x-2-3-1-3-x","B D F Ab","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Db5","major","a-power","x-4-6-6-x-x","Db Ab","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Db11","major","full-e11","9-9-9-10-9-11","Db F Ab Cb Eb Gb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Db13","major","a13","x-4-3-4-4-6","Db F Ab Cb Eb Gb Bb","Ab Gb","","low-position-span-at-least-three-review","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Dbadd2","major","c-add2","x-4-1-1-2-1","Db Eb F Ab","","","low-position-span-at-least-three-review","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Dbadd11","major","c-add11","x-4-4-1-2-1","Db F Ab Gb","","","low-position-span-at-least-three-review","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Dbmaj11","major","full-emaj11","9-9-10-10-9-11","Db F Ab C Eb Gb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Dbmaj13","major","full-emaj13","9-11-10-10-11-11","Db F Ab C Eb Gb Bb","Gb","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Db7b5","major","a-seven-flat-five","x-4-5-4-6-x","Db F Abb Cb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Db7#5","major","a-seven-sharp-five","x-4-7-4-6-x","Db F A Cb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Db7b9","major","a-seven-flat-nine","x-4-3-4-3-4","Db F Ab Cb Ebb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Db7#9","major","a-seven-sharp-nine","x-4-3-4-5-4","Db F Ab Cb E","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Db6/9","major","a-six-nine","x-4-3-3-4-4","Db F Ab Bb Eb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Dbm11","minor","full-em11","9-9-9-9-9-11","Db Fb Ab Cb Eb Gb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Dbm13","minor","am13","x-4-2-4-4-6","Db Fb Ab Cb Eb Gb Bb","Ab Gb","","low-position-span-at-least-three-review","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Dbm7b5","minor","a-half-diminished","x-4-5-4-5-x","Db Fb Abb Cb","","display-name-parser-mismatch","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Dbdim7","dim","a-diminished-seven","x-4-5-3-5-x","Db Fb Abb Cbb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Eb5","major","a-power","x-6-8-8-x-x","Eb Bb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Eb11","major","full-e11","11-11-11-12-11-13","Eb G Bb Db F Ab","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Eb13","major","a13","x-6-5-6-6-8","Eb G Bb Db F Ab C","Bb Ab","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Ebadd2","major","c-add2","x-6-3-3-4-3","Eb F G Bb","","","low-position-span-at-least-three-review","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Ebadd11","major","c-add11","x-6-6-3-4-3","Eb G Bb Ab","","","low-position-span-at-least-three-review","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Ebmaj11","major","full-emaj11","11-11-12-12-11-13","Eb G Bb D F Ab","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Ebmaj13","major","full-emaj13","11-13-12-12-13-13","Eb G Bb D F Ab C","Ab","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Eb7b5","major","a-seven-flat-five","x-6-7-6-8-x","Eb G Bbb Db","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Eb7#5","major","a-seven-sharp-five","x-6-9-6-8-x","Eb G B Db","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Eb7b9","major","a-seven-flat-nine","x-6-5-6-5-6","Eb G Bb Db Fb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Eb7#9","major","a-seven-sharp-nine","x-6-5-6-7-6","Eb G Bb Db F#","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Eb6/9","major","a-six-nine","x-6-5-5-6-6","Eb G Bb C F","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Ebm11","minor","full-em11","11-11-11-11-11-13","Eb Gb Bb Db F Ab","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Ebm13","minor","am13","x-6-4-6-6-8","Eb Gb Bb Db F Ab C","Bb Ab","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Ebm7b5","minor","a-half-diminished","x-6-7-6-7-x","Eb Gb Bbb Db","","display-name-parser-mismatch","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Ebdim7","dim","a-diminished-seven","x-6-7-5-7-x","Eb Gb Bbb Dbb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Gb5","major","e-power","2-4-4-x-x-x","Gb Db","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Gb11","major","full-e11","2-2-2-3-2-4","Gb Bb Db Fb Ab Cb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Gb13","major","full-e13","2-4-2-3-4-4","Gb Bb Db Fb Ab Cb Eb","Cb","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Gbadd2","major","c-add2","x-9-6-6-7-6","Gb Ab Bb Db","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Gbadd11","major","e-add11","2-2-4-3-2-2","Gb Bb Db Cb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Gbmaj11","major","full-emaj11","2-2-3-3-2-4","Gb Bb Db F Ab Cb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Gbmaj13","major","full-emaj13","2-4-3-3-4-4","Gb Bb Db F Ab Cb Eb","Cb","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Gb7b5","major","e-seven-flat-five","2-x-2-3-1-x","Gb Bb Dbb Fb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Gb7#5","major","e-seven-sharp-five","2-x-2-3-3-2","Gb Bb D Fb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Gb7b9","major","e-seven-flat-nine","2-4-2-3-2-3","Gb Bb Db Fb Abb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Gb7#9","major","e-seven-sharp-nine","2-4-2-3-5-5","Gb Bb Db Fb A","","","low-position-span-at-least-three-review","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Gb6/9","major","e-six-nine","2-1-1-1-2-x","Gb Bb Db Eb Ab","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Gbm11","minor","full-em11","2-2-2-2-2-4","Gb Bbb Db Fb Ab Cb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Gbm13","minor","full-em13","2-4-2-2-4-4","Gb Bbb Db Fb Ab Cb Eb","Cb","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Gbm7b5","minor","e-half-diminished","2-x-2-2-1-x","Gb Bbb Dbb Fb","","display-name-parser-mismatch","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Gbdim7","dim","e-diminished-seven","2-x-1-2-1-x","Gb Bbb Dbb Fbb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Ab5","major","e-power","4-6-6-x-x-x","Ab Eb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Ab11","major","full-e11","4-4-4-5-4-6","Ab C Eb Gb Bb Db","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Ab13","major","full-e13","4-6-4-5-6-6","Ab C Eb Gb Bb Db F","Db","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Abadd2","major","g-add2","4-1-1-1-1-4","Ab Bb C Eb","","","low-position-span-at-least-three-review;outer-strings-high-fret-with-interior-low-grip-review","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Abadd11","major","e-add11","4-4-6-5-4-4","Ab C Eb Db","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Abmaj11","major","full-emaj11","4-4-5-5-4-6","Ab C Eb G Bb Db","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Abmaj13","major","full-emaj13","4-6-5-5-6-6","Ab C Eb G Bb Db F","Db","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Ab7b5","major","e-seven-flat-five","4-x-4-5-3-x","Ab C Ebb Gb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Ab7#5","major","e-seven-sharp-five","4-x-4-5-5-4","Ab C E Gb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Ab7b9","major","e-seven-flat-nine","4-6-4-5-4-5","Ab C Eb Gb Bbb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Ab7#9","major","e-seven-sharp-nine","4-6-4-5-7-7","Ab C Eb Gb B","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Ab6/9","major","e-six-nine","4-3-3-3-4-x","Ab C Eb F Bb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Abm11","minor","full-em11","4-4-4-4-4-6","Ab Cb Eb Gb Bb Db","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Abm13","minor","full-em13","4-6-4-4-6-6","Ab Cb Eb Gb Bb Db F","Db","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Abm7b5","minor","e-half-diminished","4-x-4-4-3-x","Ab Cb Ebb Gb","","display-name-parser-mismatch","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Abdim7","dim","e-diminished-seven","4-x-3-4-3-x","Ab Cb Ebb Gbb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Bb5","major","a-power","x-1-3-3-x-x","Bb F","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Bb11","major","full-e11","6-6-6-7-6-8","Bb D F Ab C Eb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Bb13","major","a13","x-1-0-1-1-3","Bb D F Ab C Eb G","F Eb","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Bbadd2","major","g-add2","6-3-3-3-3-6","Bb C D F","","","low-position-span-at-least-three-review;outer-strings-high-fret-with-interior-low-grip-review","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Bbadd11","major","e-add11","6-6-8-7-6-6","Bb D F Eb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Bbmaj11","major","full-emaj11","6-6-7-7-6-8","Bb D F A C Eb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Bbmaj13","major","full-emaj13","6-8-7-7-8-8","Bb D F A C Eb G","Eb","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Bb7b5","major","a-seven-flat-five","x-1-2-1-3-x","Bb D Fb Ab","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Bb7#5","major","a-seven-sharp-five","x-1-4-1-3-x","Bb D F# Ab","","","low-position-span-at-least-three-review","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Bb7b9","major","a-seven-flat-nine","x-1-0-1-0-1","Bb D F Ab Cb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Bb7#9","major","a-seven-sharp-nine","x-1-0-1-2-1","Bb D F Ab C#","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Bb6/9","major","a-six-nine","x-1-0-0-1-1","Bb D F G C","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Bbm11","minor","full-em11","6-6-6-6-6-8","Bb Db F Ab C Eb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Bbm13","minor","full-em13","6-8-6-6-8-8","Bb Db F Ab C Eb G","Eb","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Bbm7b5","minor","a-half-diminished","x-1-2-1-2-x","Bb Db Fb Ab","","display-name-parser-mismatch","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Bbdim7","dim","a-diminished-seven","x-1-2-0-2-x","Bb Db Fb Abb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
